,0
0,"step 0: train loss 4.2899, val loss 4.2849"
1,"step 250: train loss 2.0480, val loss 2.1315"
2,"step 500: train loss 1.6584, val loss 1.8465"
3,"step 750: train loss 1.4867, val loss 1.7005"
4,"step 1000: train loss 1.3814, val loss 1.6061"
5,"step 1250: train loss 1.3119, val loss 1.5589"
6,"step 1500: train loss 1.2566, val loss 1.5201"
7,"step 1750: train loss 1.2072, val loss 1.4958"
8,"step 2000: train loss 1.1633, val loss 1.4860"
9,"step 2250: train loss 1.1277, val loss 1.4769"
10,"step 2500: train loss 1.0894, val loss 1.4748"
11,"step 2750: train loss 1.0529, val loss 1.4730"
12,"step 3000: train loss 1.0188, val loss 1.4711"
13,"step 3250: train loss 0.9849, val loss 1.4871"
14,"step 3500: train loss 0.9542, val loss 1.4909"
15,"step 3750: train loss 0.9224, val loss 1.5034"
16,"step 4000: train loss 0.8955, val loss 1.5225"
17,"step 4250: train loss 0.8729, val loss 1.5302"
18,"step 4500: train loss 0.8502, val loss 1.5430"
19,"step 4750: train loss 0.8381, val loss 1.5507"
20,"step 5000: train loss 0.8257, val loss 1.5598"
